,CUI,Drug,Indication
2291,['1731071'],Fosaprepitant, the prevention nausea and vomiting associated with highly emegenic cancer chemotherapy.
2292,['10032'],Stanozolol," is a synthetic anabolic steroid with therapeutic uses in treating c1-inhibir deficient hereditary angioedema. c1-inhibir is a protease that inhibits the complement system (part the innate immune system), a biochemical chain reactions which assists the body in removing pathogens from the body. may help control attacks hereditary angioedema. can be administered orally or intramuscularly."
2293,['1825'],Buserelin," may be in the hormone-responsive cancers such as prostate cancer or breast cancer, estrogen-dependent conditions (such as endometriosis or uterine fibroids), and in assisted reproduction."
2294,"['84959', '901805']",Velaglucerase alfa, is a hydrolytic lysosomal glucocerebroside-specific enzyme long-term enzyme replacement therapy pediatric and adult patients with type 1 gaucher disease.
2295,"['612', '81948']",Aluminum hydroxide, relief heartburn and acid indigestion.
2296,"['1897', '349908']",Calcium Carbonate, relief heartburn and acid indigestion. may also be as a nutritional supplement or treat hypocalcemia.
2297,['20890'],Lornoxicam," the acute mild moderate pain, as well as pain and inflammation the joints ca by certain types rheumatic diseases."
2298,['16689'],Aceclofenac," the relief pain and inflammation in osteoarthritis, rheumaid arthritis and ankylosing spondylitis."
2299,['625'],Ambroxol," is as “secrelytic therapy in bronchopulmonary diseases associated with abnormal mucus secretion and impaired mucus transport. it promotes mucus clearance, facilitates expecration and eases productive cough, allowing patients breathe freely and deeply."
2300,['23684'],Drotaverine, in the functional bowel disorders and alleviating pain in renal colic.
2301,['2525'],Chymopapain," injections should preferably be given under local, rather than general, anaesthesia. the dose a single intervertebral disc is 2 4 nanokatals, with a maximum dose per patient 8 nanokatals. [wikipedia]"
2302,['1512'],Glycine betaine,"betaine is the homocystinuria decrease elevated homocysteine blood levels. included within the category homocystinuria are deficiencies or defects in: 1. cystathionine beta-synthase (cbs), 2. 5,10-methylenetetrahydrolate reductase (mthfr), 3. cobalamin cacr metabolism (cbl)."
2303,['6623'],Manganese, use as a supplement intravenous solutions given tal parenteral nutrition (tpn). administration helps maintain plasma levels and prevent depletion endogenous sres and subsequent deficiency sympms.
2304,['214817'],Sacrosidase, the congenital sucrose-isomaltase deficiency (csid).
2305,['46967'],Beractant, is prevention and respirary distress syndrome (rds) in premature infants.
2306,['37935'],Tetryzoline, temporary relief discomt and redness the eye due minor eye irritations.
2307,['1000082'],Alcaftadine, the prevention itching associated with allergic conjunctivitis.
2308,['712'],Ammonium chloride,"1. expecrant in cough syrups. 2. the ammonium ion (nh4+) in the body plays an important role in the maintenance acid-base balance. the kidney uses ammonium (nh4+) in place sodium (na+) combine with fixed anions in maintaining acid-base balance, especially as a homeostatic compensary mechanism in metabolic acidosis. the therapeutic effects depend upon the ability the kidney utilize ammonia in the excretion an excess fixed anions and the conversion ammonia urea by the liver, thereby liberating hydrogen (h+) and chloride (cl–) ions in the extracellular fluid. injection, usp, after dilution in isonic sodium chloride injection, may be in the patients with: (1) hypochloremic states and (2) metabolic alkalosis."
2309,['215247'],Ammonium lactate," the dry, scaly skin (xerosis) and ichthyosis vulgaris and temporary relief itching associated with these conditions."
2310,['134547'],Bendamustine, is use in the chronic lymphocytic leukemia (cll) and indolent b-cell non-hodgkin lymphoma (nhl) that has progressed during or within six months with rituximab or a rituximab-containing regimen.
2311,['1426'],Benzyl alcohol,ulesfia () lotion is the pical head lice infestation in patients 6 months age and older. ulesfia lotion does not have ovicidal activity.
2312,['819911'],Besifloxacin, bacterial conjunctivitis. bacterial isolates that are susceptible include: cdc corynem group g; corynebacterium pseudodiphtheriticum; corynebacterium striatum; haemophilus influenzae; moraxella lacunata; staphylococcus aureus; staphylococcus epidermidis; staphylococcus hominis; staphylococcus lugdunensis; strepcoccus mitis group; strepcoccus oralis; strepcoccus pneumoniae; strepcoccus salivarius*
2313,['996051'],Cabazitaxel, patients with hormone-refracry metastatic prostate cancer previously treated with a docetaxel-containing regimen.
2314,['1992'],Capsaicin,"the 8% patch is in the neuropathic pain associated with post-herpetic neuralgia. there are multiple pical mulations available, including creams and solutions, temporary analgesia in muscle and join pain as well as neuropathic pain."
2315,['401713'],Carglumic Acid, the acute and chronic hyperammonaemia in patients with n-acetylglutamate synthase (nags) deficiency. this enzyme is an important component the urea cycle prevent build up neuroxic ammonium in the blood.
2316,['2323'],Chenodeoxycholic acid,"chenodiol is patients with radiolucent snes in well-opacifying gallbladders, in whom selective surgery would be undertaken except the presence increased surgical risk due systemic disease or age. chenodiol will not dissolve calcified (radiopaque) or radiolucent bile pigment snes."
2317,['67109'],Dalteparin," is as a prophylaxis deep-vein thrombosis and pulmonary embolisms in patients undergoing general surgery (e.g., abdominal, gynecologic, urologic), and in patients with acute medical conditions (e.g. cancer, bed rest, heart failure, severe lung disease). it is also in patients who have severely restricted mobility, which poses a risk thromboembolic complications. is also concomitantly with aspirin and/or other therapy (e.g., nitrates, β-adrenergic blockers, clopidogrel, platelet glycoprotein [gp] iib/iiia-recepr inhibirs) reduce the risk acute cardiac ischemic events. the patients who undergo this combination have unstable angina or non-st-segment elevation/non-q-wave myocardial infarction (i.e., non-st-segment elevation acute coronary syndromes). it is also in the prevention clotting during hemodialysis and hemiltration in connection with acute renal failure or chronic renal insufficiency."
2318,['23043'],Difluprednate, the inflammation and pain associated with ocular surgery.
2319,['3445'],Dimercaprol," the arsenic, gold and mercury poisoning. in acute lead poisoning when concomitantly with edetate calcium disodium (db00974)."
2320,"['24902', '539399']",Prussian blue, patients with known or suspected internal contamination with radioactive cesium and/or radioactive or non-radioactive thallium increase their rates elimination.
2321,['272758'],Gallium citrate Ga 67," injection may be useful demonstrate the presence and extent hodgkin's disease, lymphoma, and bronchogenic carcinoma. positive gallium ga-67 uptake in the absence prior sympms warrants follow-up as an indication a potential disease state. injection may be useful as an aid in detecting some acute inflammary lesions."
2322,['35825'],Ganirelix, the inhibition premature lh surges in women undergoing controlled ovarian hyperstimulation.
2323,['5084'],Halcinonide, the relief the inflammary and pruritic manifestations corticosteroid-responsive dermases.
2324,['26867'],Hexocyclium,"the world health organization classifies as a drug functional gastrointestinal disorders [l876]. like other anti-muscarinic agents, was likely treat peptic ulcers or diarrhea."
2325,['50975'],Histrelin,"as the product supprelin la (fda), is the children with central precocious puberty (cpp). as the product vantas (fda), is the palliative advanced prostate cancer."
2326,"['5542', '12488']",Hydroxyprogesterone caproate, is the prevention spontaneous preterm births in singlen pregnancies in women who have previously had a spontaneous preterm birth. (1)
2327,['68092'],Lanreotide, is a somastatin analog approved neuroendocrine tumours and acromegaly. (2)
2328,['234416'],Lanthanum carbonate, reduce serum phosphate in patients with end stage renal disease (esrd).
2329,['52151'],Lodoxamide," in the the ocular disorders referred by the terms vernal keraconjunctivitis, vernal conjunctivitis, and vernal keratitis."
2330,['6572'],Mafenide, is in the severe burns.
2331,['236987'],Mangafodipir, use as an organ-specific paramagnetic contrast agent developed imaging the hepabiliary system and detecting lesions in liver and pancreas.
2332,['6832'],Methenamine, prophylactic or suppressive frequently recurring urinary tract infections when long-term therapy is considered necessary. this drug is not treat infection and should only be after appropriate eradication infection with antimicrobial agents.
2333,['29899'],Methylnaltrexone, opioids induced constipation in palliative patients that are inadequately responding laxative therapy.
2334,['298665'],Nepafenac, the pain and inflammation associated with cataract surgery.
2335,['7402'],Niclosamide," the tapeworm and intestinal fluke infections: taenia saginata (beef tapeworm), taenia solium (pork tapeworm), diphyllobothrium latum (fish tapeworm), fasciolopsis buski (large intestinal fluke). is also as a molluscicide in the control schissomiasis."
2336,['53750'],Nonoxynol-9,"nonoxynol 9 is a surfactant spermicide contraception in spermicidal creams, jellies, foams, gel, and lubricants. it is also in conjuction with other methods contraception, including condoms, cervical caps and diaphragms."
2337,['733003'],Plerixafor," in combination with granulocyte-colony stimulating facr (g-csf, filgrastim) mobilize hemapoietic stem cells the peripheral blood collection and subsequent aulogous transplantation in patients with non-hodgkin’s lymphoma (nhl) and multiple myeloma (mm)."
2338,['6995'],Plicamycin," the testicular cancer, as well as hypercalcemia and hypercalciuria associated with a variety advanced ms cancer."
2339,['968170'],Polidocanol, is a sclerosing agent treat uncomplicated spider veins and uncomplicated reticular veins in the lower extremity.
2340,['8611'],Povidone-iodine, pical application in the and prevention infection in wounds.
2341,['662019'],Pralatrexate, relapsed or refracry peripheral t-cell lymphoma.
2342,['35163'],Pyrvinium, was once in the pinworm infestations [t39].
2343,['719872'],Raltegravir, the hiv-1 infection in conjunction with other antiretrovirals.
2344,"['81647', '1546447']",Phenylbutyric acid,"adjunctive therapy the chronic urea cycle disorders due deficiencies in carbamylphosphate (cps), ornithine transcarbamylase (otc), or argininosuccinic acid synthetase. it is in all neonatal- onset efficiency presenting within the first 28 days life. also in patients with late-onset, presenting after the first month life with a hisry hyperammonemic encephalopathy."
2345,['37319'],Sulconazole," solution 1.0% is the tinea cruris and tinea corporis ca by trichophyn rubrum, trichophyn mentagrophytes, epidermophyn floccosum, and microsporum canis; and the tinea versicolor. effectiveness has not been proven in tinea pedis (athlete’s foot)."
2346,"['69646', '104466']",Tinzaparin, is the prevention posperative venous thromboembolism in patients undergoing orthopedic surgery and in patients undergoing general surgery who are at high risk developing posperative venous thromboembolism. it is also the deep vein thrombosis and/or pulmonary embolism. it is use in preventing clot mation in indwelling intravenous lines hemodialysis.
2347,['6765'],Tiopronin," is the prevention kidney sne mation in patients with severe homozygous cystinuria consisting a urinary cystine concentration greater than 500 mg/day, and who have failed with non-pharmacological measures increased fluid intake, decreased sodium and protein intake, and urine alkalinization."
2348,['10798'],Triethylenetetramine,trientine is a copper chelar in the wilson's disease as an alternative d-penicillamine. it tends be in patients who are experiencing serious adverse effects from penicillamine therapy or inlerance penicillamine.
2349,['38782'],Triptorelin,triprelin is the palliative advanced prostate cancer.
2350,['1546408'],Unoprostone, the lowering intraocular pressure in patients with open-angle glaucoma or ocular hypertension who are inlerant other intraocular pressure lowering medications or insufficiently responsive (failed achieve target iop determined after multiple measurements over time) another intraocular pressure lowering medication.
2351,['57330'],Tranilast," the bronchial asthma, keloid and hypertrophic scar, and allergic disorders such as asthma, allergic rhinitis and apic dermatitis."
2352,['279950'],Parecoxib, short term perioperative pain control.
2353,['10795'],Triclosan," is in a variety common household products, including soaps, mouthwashes, dish detergents, othpastes, deodorants, and hand sanitizers. it is also in health care settings in surgical scrubs and personnel hand washes."
2354,['67182'],Diloxanide," is alone as a primary agent in the asympmatic (cyst passers) intestinal amebiasis ca by entamoeba hislytica. may also be concurrently, or sequentially, with other agents such as the nitroimidazoles (eg. metronidazole) in the invasive or extraintestinal ms amebiasis."
2355,['18609'],Azidocillin," infection (respirary, gi, uti and meningitis) due e. coli, p. mirabilis, enterococci, shigella, s. typhosa and other salmonella, nonpenicillinase-producing n. gononhoeae, h. influenzae, staphylococci, strepcocci including strepc"
2356,['33740'],Pipazethate, the cough.
2357,"['10183', '10207']",Sulfamoxole, the bacterial infection.
2358,['865'],Antazoline," relieve nasal congestion and in eye drops, usually in combination with naphazoline, relieve the sympms allergic conjunctivitis."
2359,['20861'],Chloropyramine," the allergic conjunctivitis, allergic rhinitis, bronchial asthma, and other apic (allergic) conditions."
2360,['3449'],Dimetindene," as sympmatic allergic reactions: urticaria, allergies the upper respirary tract such as hey fever and perennial rhinitis, food and drug allergies; pruritus various origins, except pruritus due cholestasis; insect bites. dimethindene is also pruritus in eruptive skin diseases such as chicken-pox. dimethindene can also be as an adjuvant in eczema and other pruriginous dermases allergic origin."
2361,['28012'],Isothipendyl, the pical itching associated with allergic reactions.
2362,['31494'],Nandrolone decanoate," the refracry deficient red cell production anemias, breast carcinoma, hereditary angioedema, antithrombin iii deficiency, fibrinogen excess, growth failure and turner's syndrome. it is also in the prophylaxis hereditary angioedema."
2363,['35803'],Roxatidine acetate," the disorders the upper gastro-intestinal region that are due an excess hydrochloric acid in the gastric juice, i.e. duodenal ulcers, benign gastric ulcers. also prophylaxis recurrent gastric and duodenal ulcers"
2364,['19605'],Bopindolol," the hypertension, edema, ventricular tachycardias, and atrial fibrillation."
2365,['1817'],Bupranolol, manage hypertension and tachycardia. also treat glaucoma.
2366,['21125'],Cinitapride," the gastrointestinal disorders associated with motility disturbances such as gastroesophageal reflux disease, non-ulcer dyspepsia and delayed gastric emptying."
2367,['38365'],Tofisopam, the anxiety and alcohol withdrawal.
2368,['67031'],Nadroparin," is prophylaxis thromboembolic disorders and general surgery in orthopedic surgery, deep vein thrombosis, prevention clotting during hemodialysis and unstable angina and non-q wave myocardial infarction"
2369,['38655'],Triflusal," the pevention cardiovascular events such as stroke, acute cerebral infarction, myocardial infarction, and thromboprophylaxis due atrial fibrillation."
2370,['1040028'],Lurasidone, schizophrenia.
2371,['1116632'],Ticagrelor, the prevention thrombotic events ( example stroke or heart attack) in patients with acute coronary syndrome or myocardial infarction with st elevation.
2372,"['5463', '62372', '258347']",Hyaluronic acid," treat knee pain in patients with joint inflammation (osteoarthritis). it is usually in patients who have not responded other s such as acetaminophen, exercise, or physical therapy. may also be in plastic surgery reduce wrinkles on the face or as a filler in other parts the body. may be in ophthalmology assist in the extraction cataracts, the implantation intraocular lenses, corneal transplants, glaucoma filtration, retinal attachment and in the dry eyes. finally, is also coat the bladder lining in treating interstitial cystitis."
2373,['1244607'],Tafluprost, is reducing elevated intraocular pressure in patients with open-angle glaucoma or ocular hypertension.
2374,['1243041'],Ivacaftor,"when as monotherapy as the product kalydeco, ivacafr is the managmenet cf in patients age 2 years and older who have a mutation in the cftr gene that is responsive ivacafr potentiation. ivacafr received expanded approval in may 2017 the following 33 cftr mutations: e56k, p67l, r74w, d110e, d110h, r117c, r117h, g178r, e193k, l206w, r347h, r352q, a455e, s549n, s549r, g551d, g551s, d579g, s945l, s977f, f1052v, k1060t, a1067t, g1069r, r1070q, r1070w, f1074l, d1152h, g1244e, s1251n, s1255p, d1270n, and g1349d [l768, fda label]. when in combination with the drug [db09280] as the product orkambi, ivacafr is the cf patients age 6 years and older who are homozygous the f508del mutation in the cftr gene."
2375,"['1091642', '1091643', '1294597']",Azilsartan medoxomil, hypertension (alone or as an adjunct).
2376,['299081'],Spinosad, is the pical head lice in children four years old and over and in adults.
2377,['1426874'],Ioflupane I-123,ilupane i-123 is a spect (single phon emission computerized mography) agent distinguish between parkinson’s syndrome tremors and essential tremor.
2378,['11645'],Deferiprone, is in thalassemia syndromes when first line chelation agents are not adequate treat transfusional iron overload.
2379,['1364479'],Lomitapide," in homozygous familial hypercholesterolemia (hh) patients reduce low-density lipoprotein cholesterol (ldl-c), tal cholesterol (tc), apolipoprotein b (apo b), and non-high-density lipoprotein cholesterol (non-hdl-c)."
2380,['1242987'],Vismodegib," is treating locally advanced or metastatic basal cell carcinoma in patients whose carcinoma has recurred after surgery, and in patients who are not candidates surgery or radiation."
2381,['1733674'],2-deoxyglucose,"as july 2013, there is no approved therapeutic indication . may have several potential indications as an adjunct chemotherapy and radiotherapy in the solid tumors, as an antiviral in herpes simplex patients, and as an antiepileptic in temporal lobe epilepsy patients."
2382,['193'],Acetylcarnitine," is not approved any indication in the united states and canada, but it is approved and in italy cerebrovascular disorders, mental function disorders, peripheral nerve disorders, diabetic neuropathy, and nutritional supplementation; portugal mental function disorders; argentina cerebral vasculopathy, nutritional supplementation, and peripheral neuropathy; chile dementia; philippines cerebrovascular disorders and mental function disorders; australia nutritional supplementation; and india nutritional supplementation increase sperm count. also has several potential therapeutic indications which it is still being investigated: in norway, is in a phase iv trial prophylactic migraines; in italy is in a phase ii trial use in patients with type 2 diabetes mellitus, a phase iii trial alleviating fatigue in patients with chronic hepatitis c, and use in patients with minimal hepatic encephalopathy; in the united states is in a phase ii trial the neurodegenerative disorder progressive supranuclear palsy, a phase ii and iii trial reducing peripheral neuropathy in cancer patients as an adjunct chemotherapy, a phase i and ii trial treating patients in septic shock, a phase ii trial bipolar depression, a phase ii trial reduce oxidative stress in patients with sickle cell disease, a phase i and ii trial chronic fatigue syndrome, and a study preventing nerve damage in hiv patients; in china is in a phase iii trial reducing peripheral neuropathy in cancer patients as an adjunct chemotherapy; in the united kingdom is being investigated preventing nerve damage in hiv patients; and in israel is being studied the male infertility."
2383,['1427088'],Uric Acid,"at present (august 2013), there is no approved indication . the potential therapeutic use is as an adjunct in acute ischemic stroke."
2384,['1043181'],Ellagic Acid," is being investigated use in follicular lymphoma, brain injury in intrauterine growth restricted babies, obese adolescents, and solar lentigines."
2385,['1311548'],Hydroxyproline," in france as a combination product the small, superficial wounds."
2386,['861634'],Pitavastatin," is lower serum levels tal cholesterol, ldl-c, apolipoprotein b, and triglycerides, and raise levels hdl-c the dyslipidemia."
2387,['2420'],Cholecystokinin, use as a diagnostic aid evaluation gallbladder disorders.
2388,['1102270'],Rilpivirine,", in combination with other agents, is the hiv-1 infections in antiretroviral -naive patients with hiv-1 rna ≤100,000 copies/ml and cd4+ cell count >200 cells/mm3.[l1030] the fda combination therapy approval and dolutegravir is adults with hiv-1 infections whose virus is currently suppressed (< 50 copies/ml) on a stable regimen at least six months, without hisry failure and no known substitutions associated resistance any the two components the therapy.[l1031]"
2389,['1148495'],Crizotinib, is the locally advanced or metastatic non-small cell lung cancer (nsclc) that is anaplastic-lymphoma kinase (alk)-positive as detected by a fda-approved test.
2390,['1005921'],Ulipristal,"as the product ella (available in canada and the us), is use as emergency contraception after unprotected intercourse or possible contraceptive failure when administered within 120 hours (5 days) after unprotected intercourse or a known or suspected contraceptive failure. as the product fibristal (available in canada), is the signs and sympms uterine fibroids in adult women."
2391,['1012892'],Fingolimod, is a sphingosine 1-phosphate recepr modular the patients with relapsing ms multiple sclerosis reduce the frequency clinical exacerbations and delay the accumulation physical disability.
2392,['1044584'],Tesamorelin, acetate is a synthetic analogue human hypothalamic growth hormone releasing facr (hgrf) induce and maintain a reduction excess abdominal fat in hiv-infected patients with lipodystrophy.
2393,['1147320'],Brentuximab vedotin, in the hodgkin lymphoma and systemic anaplastic large cell lymphoma.
2394,['1045453'],Eribulin, the patients with metastatic breast cancer who have previously received at least two chemotherapeutic regimens the metastatic cancer.
2395,['1101333'],Gabapentin Enacarbil, the adult restless legs syndrome (rls) and postherpetic neuralgia (phn).
2396,['1102129'],Boceprevir,", when in combination with [db00811], [db00008], and [db00022] is use in the chronic hcv genotype 1 infection in adults [fda label]."
2397,['1111103'],Fidaxomicin, clostridium difficile-associated diarrhea
2398,['1363268'],Cabozantinib, the metastatic medullary thyroid cancer and the patients with advanced renal cell carcinoma (rcc) who have received prior anti-angiogenic therapy.
2399,['1291609'],Taliglucerase Alfa, the adult type 1 gaucher disease.
2400,['1193326'],Ruxolitinib," intermediate or high-risk myelibrosis, including primary myelibrosis, post-polycythemia vera (post-pv) myelibrosis and post-essential thrombocythemia (post-et) myelibrosis. [lexicomp] myeolibrosis is the proliferation abnormal bone marrow stem cells which cause fibrosis (the excessive mation connective tissue)."
2401,['1440264'],Aminopterin,"prior its withdrawal, was initially in the childhood leukemia; specifically induce remissions. later, was f-label in the united states treat psoriasis, yielding dramatic lesion clearing. was later supplanted by methotrexate treating cancer because its better therapeutic index. (as well as methotrexate) has also been explored use as an abortifacient. however, their association with severe congenital malmations and teragenic effects have become known as fetal syndrome."
2402,['1092437'],Belimumab,adjunct au-antibody-positive active systemic lupus erythemasus.
2403,['1310520'],Teriflunomide, in the relapsing ms multiple sclerosis (ms).
2404,['1147220'],Vemurafenib," is approved since 2011 the metastatic melanoma with a mutation on braf in the valine located in the exon 15 at codon 600, this mutation is denominated as v600e.[a31270] the v600e mutation, a substitution glutamic acid valine, accounts 54% the cases cutaneous melanoma.[a31271] approval was extended in 2017, its use as a adult patients with erdheim-chester disease whose cancer cells present braf v600 mutation.[l1013] erdheim-chester disease is an extremely rare histiocyte cell disorder that affects large bones, large vessels, central nervous system, as well as, skin and lungs. it is reported an association erdheim-chester disease and v600e mutation.[a31272]"
2405,"['1100699', '1100703']",Linagliptin, is the type 2 diabetes mellitus.
2406,['1356552'],Perampanel, in patients over 12 years old the partial-onset seizures that may or may not occur with generalized seizures.
2407,['802624'],Gadoxetic acid,gadoxetate is as a contrast medium magnetic resonance imaging (mri) detect and characterize lesions in the liver.
2408,"['1232150', '1304475']",Aflibercept,"the opthalmic agent is the neovascular (wet) age-related mascular degeneration (amd) and macular edema following central retinal vein occulsion (crvo). the systemic injection, known as ziv-, in combination with 5-fluorouracil, leucovorin, irinotecan-(folfiri), is the metastatic colorectal cancer that is resistant or progressed following with oxaliplatin."
2409,['1431738'],Asparaginase Erwinia chrysanthemi,asparaginase erwinia chryanthemi is the patients with acute lymphoblastic leukemia (all) that have developed a hypersensitivity escherichia coli-derivied asparaginase. it is a component a multi-agent chemotherpeutic regimen the the aementioned disease and is considered second- or third- line in european and american procols.
2410,['1304974'],Icosapent ethyl, is as adjunct therapy reduce triglyceride (tg) levels in adults with severe (>500 mg/dl) hypertriglyceridemia.
2411,['29998'],Ocriplasmin, is a proteolytic enzyme the sympmatic vitreomacular adhesion.
2412,['1302966'],Carfilzomib, is the patients with multiple myeloma who have received at least two prior therapies including bortezomib and an immunomodulary agent and have demonstrated disease progression on or within 60 days completion the last therapy. approval is based on response rate.
2413,['1307404'],Linaclotide, irritable bowel syndrome (ibs) with constipation and chronic idiopathic constipation.
2414,['1300786'],Mirabegron," is a beta-3 adrenergic agonist the overactive bladder (oab) with sympms urge urinary incontinence, urgency, and urinary frequency."
2415,['1248798'],Peginesatide, is the anemia due chronic kidney disease (ckd) in adult patients on dialysis
2416,['1357536'],Tofacitinib," the moderate severe rheumaid arthritis which is resistant or inlerant methotrexate therapy. it may also be as an adjunct methotrexate therapy, or other non-biologic disease-modifying antirheumatic drugs (dmards), when methotrexate alone is not sufficient. facitinib has also been investigated as a preventative therapy kidney transplant rejections, and as a psoriasis, ulcerative colitis, and ankylosing spondylitis. it is not be initiated in patients with a hisry chronic or recurrent infections, or in the presence active infection, even if localized, due reports serious and sometimes fatal infections (commonly pneumonia, herpes zoster and urinary tract infections). use facitinib is also discouraged in those who have been, or are likely be, exposed tb. an increased likelihood exposure may be encountered by traveling certain areas. in addition, facitinib is not be in patients with severe hepatic impairment, or low hemoglobin (less than 9g/dl). cautioned is advised when using facitinib in patients at risk gastrointestinal peration, and in the elderly who are more susceptible infection."
2417,['1312397'],Regorafenib," is the patients with metastatic colorectal cancer (crc) who have been previously treated with fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapy, an anti-vegf therapy, and, if kras wild type, an anti-egfr therapy. is also the patients with locally advanced, unresectable or metastatic gastrointestinal stromal tumor (gist) who have been previously treated with imatinib mesylate and sunitinib malate."
2418,['1303098'],Aclidinium," bromide inhalation powder is the long-term, maintenance bronchospasm associated with chronic obstructive pulmonary disease (copd), including chronic bronchitis and emphysema."
2419,['1242127'],Glucarpidase," in patients on methotrexate who have kidney dysfunction, and are experiencing an abnormally high plasma concentration methotrexate (> 1 micromole per liter)."
2420,['1307298'],Enzalutamide, is the patients with metastatic castration-resistant prostate cancer who have previously received docetaxel.
2421,['1364468'],Teduglutide," short bowel syndrome (sbs), malabsorption associated with the removal the intestine, in adults patients who are dependent on parenteral support."
2422,['1364347'],Ponatinib," is the adult patients with chronic phase, accelerated phase, or blast phase chronic myeloid leukemia (cml) that is resistant or inlerant prior tyrosine kinase inhibir therapy or philadelphia chromosome positive acute lymphoblastic leukemia (ph+all) that is resistant or inlerant prior tyrosine kinase inhibir therapy."
2423,['1366567'],Raxibacumab," is the adult and pediatric patients with inhalational anthrax due bacillus anthracis in combination with appropriate antibacterial drugs, and prophylaxis inhalational anthrax when alternative therapies are not available or are not appropriate."
2424,['1364504'],Bedaquiline, is as part combination therapy in adults (≥ 18 years) with pulmonary multi-drug resistant tuberculosis (mdr-tb).
2425,['709271'],Certolizumab pegol,reducing signs and sympms crohn's disease and moderately severely active rheumaid arthritis (ra).
2426,['15070'],Formestane, the estrogen-recepr positive breast cancer in post-menopausal women.
2427,['705022'],Fluticasone furoate," nasal spray is the the sympms seasonal and perennial allergic rhinitis in patients aged 2 years and older. breo ellipta, a mixture and vilanterol is the long-term, once-daily maintenance airflow obstruction in patients with copd, including chronic bronchitis and emphysema. it is also once-daily maintenance asthma in patients aged 18 or older with reversible obstructive airways disease. breo ellipta should not be the relief acute sympms asthma or copd."
2428,"['1373458', '1546031']",Canagliflozin, is as an adjunct diet and exercise improve glycemic control in adults with type 2 diabetes mellitus. use in type 1 diabetes mellitus patients or in diabetic keacidosis is not recommended.
2429,['1373478'],Dimethyl fumarate, in multiple sclerosis patients with relapsing ms.
2430,['1368451'],Glycerol Phenylbutyrate, is a nitrogen-binding agent the chronic adult and pediatric patients ≥2 years age with urea cycle disorders (ucds) who cannot be managed by dietary protein restriction and/or amino acid supplementation alone.
2431,['1369713'],Pomalidomide, is patients with multiple myeloma who have received at least two prior therapies including lenalidomide and bortezomib and have demonstrated disease progression on or within 60 days completion the last therapy.
2432,"['1425098', '1425099']",Trametinib," is the unresectable or metastatic melanoma with braf v600e or v600k mutations, as detected by an fda-approved test."
2433,['1424911'],Dabrafenib, is the patients with unresectable or metastatic melanoma with braf v600e mutation as detected by an fda-approved test.
2434,['1424174'],Radium Ra 223 Dichloride, in patients who have metastatic bone cancer that is sympmatic with no visceral metastases and patients who have prostate cancer that is castration resistant.
2435,['1430438'],Afatinib, is a kinase inhibir the first-line patient with metastatic non-small cell lung cancer (nsclc) whose tumours have epidermal growth facr recepr (egfr) exon 19 deletions or exon 21 (l858r) substitution mutations as detected by an fda-approved test.
2436,['1433693'],Ferric Carboxymaltose,ferric carboxymalse is a iron replacement product the iron deficiency anemia in adult patients who have inlerance oral iron or have had unsatisfacry response oral iron or those who have non-dialysis dependent chronic kidney disease.
2437,['1433212'],Levomilnacipran, is a seronin and norepinephrine reuptake inhibir and is the major depressive disorder (mdd).
2438,['45938'],Adrafinil, relieve excessive sleepiness and inattention in elderly patients.
2439,['1433868'],Dolutegravir," is in combination with other antiretroviral agents the patients with hiv-1 infection that comply with the characteristics being adults or children aged 12 years and older and present at least a weight 40 kg.[a7520] the fda combination therapy approval and rilpivirine is adults with hiv-1 infections whose virus is currently suppressed (< 50 copies/ml) on a stable regimen at least six months, without hisry failure and no known substitutions associated resistance any the two components the therapy.[l1031]"
2440,['1439816'],Riociguat," is the adults with persistent/recurrent chronic thromboembolic pulmonary hypertension (cteph), (who group 4) after surgical , or inoperable cteph, improve exercise capacity and who functional class. is the adults with pulmonary arterial hypertension (pah), (who group 1), improve exercise capacity, who functional class and delay clinical worsening. efficacy was shown in patients on monotherapy or in combination with endothelin recepr antagonists or prostanoids. studies establishing effectiveness included predominately patients with who functional class ii–iii and etiologies idiopathic or heritable pah (61%) or pah associated with connective tissue diseases (25%)."
2441,['1442132'],Macitentan, is patients with pulmonary arterial hypertension.
2442,['1482680'],Luliconazole," is in adults aged 18 years and older the pical fungal infections ca by trichophyn rubrum and epidermophyn floccosum, specifically tinea pedis, cruris, and corporis."
2443,['1484911'],Sofosbuvir,"sosbuvir is in combination therapy with other antiviral medications treat chronic hepatitis c virus (hcv) infected patients with hcv genoptypes 1-6, and treat hcv and hiv co-infected patients. depending on the level cirrhosis or decompensation, combination therapy can also include either ribavirin alone or ribavirin and peg-interferon alfa. when in combination with [db09027] as the combination product harvoni, sosbuvir has the following indications: genotypes 1, 4, 5, or 6 infection without cirrhosis or with compensated cirrhosis; in combination with [db00811] genotype 1 infection with decompensated cirrhosis; or in combination with [db00811] the genotype 1 or 4 infection who are liver transplant recipients without cirrhosis or with compensated cirrhosis. when in combination with [db11613] as the combination product epclusa, sosbuvir is the adult patients with chronic hepatitis c virus (hcv) genotypes 1, 2, 3, 4, 5, or 6 infection without cirrhosis or with compensated cirrhosis, or in combination with [db00811] if associated with decompensated cirrhosis. resistance: reduced susceptibility sosbuvir has been associated with the ns5b substitution mutation s282t [a19634]."
