CUI,Drug,Indication
['1547099'],suvorexant,suvorexant is indicated for the treatment of insomnia characterized by difficulties with sleep onset andor sleep maintenance
['1597876'],nivolumab,nivolumab is indicated for the treatment of unresectable or metastatic melanoma for patients who no longer respond to treatment with other drugs it is intended for use in patients who have been previously treated with ipilimumab and is used for melanoma patients after treatment with ipilimumab and a braf inhibitor in patients whose tumors express braf v600 gene mutations historically there have been very few effective treatments for advanced melanoma which is why this product was approved under an fda accelerated program to allow earlier patient access
['1535218'],siltuximab,siltuximab is indicated for the treatment of patients with multicentric castlemans disease mcd who are human immunodeficiency virus hiv negative and human herpesvirus8 hhv8 negative siltuximab did not bind to virally produced il6 in a nonclinical study and was therefore not studied in patients with mcd who are hiv or hhv8 positive
['1547545'],pembrolizumab,pembrolizumab is a programmed death receptor1 pd1blocking antibody indicated for the treatment of patients with unresectable or metastatic melanoma patients with metastatic nsclc whose tumors have high pdl1 expression tumor proportion score tps 50 as determined by an fdaapproved test with no egfr or alk genomic tumor aberrations and no prior systemic chemotherapy treatment for metastatic nsclc patients with metastatic nsclc whose tumors express pdl1 tps 1 as determined by an fdaapproved test with disease progression on or after platinumcontaining chemotherapy patients with egfr or alk genomic tumor aberrations should have disease progression on fdaapproved therapy for these aberrations prior to receiving keytruda patients with recurrent or metastatic hnscc with disease progression on or after platinumcontaining chemotherapy this indication is approved under accelerated approval based on tumor response rate and durability of response continued approval for this indication may be contingent upon verification and description of clinical benefit in the confirmatory trials
['1545653'],empagliflozin,empagliflozin is indicated as an adjunct to diet and exercise to improve glycemic control in adult patients with type 2 diabetes
['1547220'],eliglustat,eliglustat is indicated for the longterm treatment of type 1 gaucher disease in patients who are cyp2d6 extensive metabolizers ems intermediate metabolizers ims or poor metabolizers pms in treatmentnaive and treatmentexperienced adult patients
['1539753'],efinaconazole,indicated in the treatment of fungal infection of the nail known as onychomycosis
['1543173'],tavaborole,indicated for the treatment of onychomycosis a fungal infection of the toenails due to itrichophyton rubrumi or itrichophyton mentagrophytesi
"['1540824', '1540825']",tedizolid phosphate,tedizolid phosphate is an oxazolidinone antibacterial drug indicated in adults for the treatment of acute bacterial skin and skin structure infections absssi caused by susceptible isolates of the following grampositive microorganisms staphylococcus aureus including methicillinresistant mrsa and methicillinsusceptible mssa isolates streptococcus pyogenes streptococcus agalactiae streptococcus anginosus group including streptococcus anginosus streptococcus intermedius and streptococcus constellatus and enterococcus faecalis
['1534763'],albiglutide,indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus
['1551291'],dulaglutide,indicated as an adjunct to diet and exercise to improve glycemic control in adults with type 2 diabetes mellitus
['1491625'],metreleptin,metreleptin is indicated as an adjunct to diet as replacement therapy to treat the complications of leptin deficiency in patients with congenital or acquired generalized lipodystrophy
['1598641'],finafloxacin,finafloxacin is indicated for the treatment of acute otitis externa aoe with or without an otowick caused by susceptible strains of ipseudomonas aeruginosai and istaphylococcus aureusi in patients age 1 year and older
['1552337'],netupitant,netupitant is an antiemitic drug approved by the fda in october 2014 for use in combination with palonosetron for the prevention of acute and delayed vomiting and nausea associated with cancer chemotherapy including highly emetogenic chemotherapy
['1551777'],naloxegol,indicated for the treatment of opioidinduced constipation oic in adult patients with chronic noncancer pain
['1597609'],ceftolozane,complicated intraabdominal infections used in combination with metronidazole complicated urinary tract infections including pyelonephritis
['1489914'],elosulfase alfa,vimizim is a hydrolytic lysosomal glycosaminoglycan gagspecific enzyme indicated for patients with mucopolysaccharidosis type iva mps iva morquio a syndrome
['1597258'],blinatumomab,indicated for the treatment of philadelphia chromosomenegative relapsed or refractory bcell precursor acute lymphoblastic leukemia all
['1442981'],ibrutinib,ibrutinib was approved by the fda for the treatment of mantle cell lymphoma and later in february 2014 for the treatment of chronic lymphocytic leukemia ibrutinib is also indicated for the treatment of patients with waldenströms macroglobulinemia wm in august 2017 ibrutinib was approved for the treatment of chronic graft versus host disease patients who have failed one or more other therapies l937
['1544460'],idelalisib,idelalisib is indicated in the treatment of chronic lymphocytic leukemia cll relapsed follicular bcell nonhodgkin lymphoma fl and relapsed small lymphocytic lymphoma sll for the treatment of relapsed cll it is currently indicated as a secondline agent in combination with rituximab in patients for whom rituximab alone would be considered appropriate therapy due to other comorbidities while in the treatment of fl and sll it is intended to be used in patients who have received at least two prior systemic therapies
['16817'],acipimox,used in the treatment of hyperlipidemias abnormally elevated levels of any or all lipids andor lipoproteins in the blood
['1722335'],anthrax immune globulin human,anthrax immune globulin is indicated for the treatment of inhalational anthrax in adult and pediatric patients in combination with appropriate antibacterial drugs
['1603834'],avibactam,avycaz ceftazidimeavibactam in combination with metronidazole is indicated for the treatment of complicated intraabdominal infections caused by the following susceptible microorganisms escherichia coli klebsiella pneumoniae proteus mirabilis providencia stuartii enterobacter cloacae klebsiella oxytoca and pseudomonas aeruginosa in patients 18 years or older avycaz is also indicated for the treatment of complicated urinary tract infections including pyelonephritis caused by the following susceptible microorganisms escherichia coli klebsiella pneumoniae citrobacter koseri enterobacter aerogenes enterobacter cloacae citrobacter freundii proteus spp and pseudomonas aeruginosa in patients 18 years or older
['1535457'],ceritinib,ceritinib is a kinase inhibitor indicated for the treatment of patients with anaplastic lymphoma kinase alkpositive metastatic nonsmall cell lung cancer nsclc who have progressed on or are intolerant to crizotinib this indication is approved under accelerated approval based on tumor response rate and duration of response an improvement in survival or diseaserelated symptoms has not been established continued approval for this indication may be contingent upon verification and description of clinical benefit in confirmatory trials
['1306284'],cobicistat,cobicistat is a cyp3a inhibitor indicated to increase systemic exposure of atazanavir or darunavir once daily dosing regimen in combination with other antiretroviral agents in the treatment of hiv1 infection it is not interchangeable with ritonavir to increase systemic exposure of darunavir 600 mg twice daily fosamprenavir saquinavir or tipranavir due to lack of exposure data the use of cobicistat is not recommended with darunavir 600 mg twice daily fosamprenavir saquinavir or tipranavir complex or unknown mechanisms of drug interactions preclude extrapolation of ritonavir drug interactions to certain cobicistat interactions cobicistat and ritonavir when administered with either atazanavir or darunavir may result in different drug interactions when used with concomitant medications
"['74670', '74671']",corticorelin ovine triflutate,corticorelin is indicated for use in differentiating pituitary and ectopic production of acth in patients with acthdependent cushings syndrome
['1455099'],vortioxetine,vortioxetine is indicated for the treatment of major depressive disorder mdd
['10826'],trimetazidine,trimetazidine is indicated for use in angina pectoris
['1490468'],tasimelteon,tasimelteon is indicated for the treatment of non24hour sleepwake disorder n24hswd
['9899'],sodium oxybate,for the treatment of cataplexy in narcolepsy and excessive daytime sleepiness eds in narcolepsy
['1601374'],palbociclib,palbociclib is indicated in combination with letrozole for the treatment of postmenopausal women with estrogen receptor erpositive human epidermal growth factor receptor 2 her2negative advanced breast cancer as initial endocrinebased therapy for their metastatic disease this indication is approved under accelerated approval based on progressionfree survival pfs continued approval for this indication may be contingent upon verification and description of clinical benefit in a confirmatory trial
['1597582'],olaparib,olaparib is a poly adpribose polymerase parp inhibitor indicated as monotherapy in patients with deleterious or suspected deleterious germline brca mutated as detected by an fdaapproved test advanced ovarian cancer who have been treated with three or more prior lines of chemotherapy
['1599538'],edoxaban,edoxaban is indicated to reduce the risk of stroke and systemic embolism se in patients with nonvalvular atrial fibrillation nvaf however it should not be used in patients with creatinine clearance crcl 95 mlmin because of increased risk of ischemic stroke compared to warfarin at the highest dose studied 60 mg it is also indicated for the treatment of deep vein thrombosis dvt and pulmonary embolism pe following 510 days of initial therapy with a parenteral anticoagulant
['1487514'],umeclidinium,indicated for the longterm oncedaily maintenance treatment of airflow obstruction in patients with chronic obstructive pulmonary disease copd
['1606274'],dinutuximab,dinutuximab is indicated in combination with granulocytemacrophage colonystimulating factor gmcsf interleukin2 il2 and 13cisretinoic acid ra for the treatment of pediatric patients with highrisk neuroblastoma who achieve at least a partial response to prior firstline multiagent multimodality therapy despite a high clinical response seen after firstline treatment the complete eradication of neuroblastoma is rarely achieved and the majority of patients with advanced disease suffer a relapse current strategies for treatment include immunotherapy with drugs such as dinutuximab to target surviving neuroblastoma cells and to prevent relapse
"['1603296', '1604346']",lenvatinib,lenvatinib is indicated for the treatment of patients with locally recurrent or metastatic progressive radioactive iodinerefractory differentiated thyroid cancer
['1592737'],nintedanib,nintedanib is indicated for the treatment of idiopathic pulmonary fibrosis ipf
['1546059'],olodaterol,olodaterol is indicated for use in chronic obstructive pulmonary disease copd including chronic bronchitis andor emphysema it is not indicated for the treatment of acute exacerbations of copd or for the treatment of asthma
['51296'],idebenone,idebenone is indicated for use by the european medicines agency ema for the treatment of visual impairment in adolescent and adult patients with lebers hereditary optic neuropathy lhon it is not currently approved for use by either the food and drug administration usa or health canada l885
['1424884'],vilanterol,vilanterol is approved for use in several combination products such as with fluticasone furoate under the tradename breo ellipta and in combination with umeclidinium bromide as anoro ellipta approved by the fda in 2013 use of breo ellipta is indicated for the longterm oncedaily maintenance treatment of airflow obstruction in patients with copd including chronic bronchitis and emphysema it is also indicated for oncedaily maintenance treatment of asthma in patients aged 18 or older with reversible obstructive airways disease
['1649480'],ivabradine,ivabradines indication by the fda is to reduce the risk of hospitalization for worsening heart failure in patients with stable symptomatic chronic heart failure with left ventricular ejection fraction 35 who are in sinus rhythm with resting heart rate 70 beats per minute and either are on maximally tolerated doses of betablockers or have a contraindication to betablocker use
['1425'],benzydamine,available predominantly as a liquid oral rinse benzydamine is most frequently employed to relieve local pains andor swelling in the mouth and throat that may arise from conditions like sore throats dental pain or even mouth sores from radiation therapy
"['10391', '91189']",tetracaine,the combination lidocaine and tetracaine patch is indicated for local dermal analgesia for superficial dermatological procedures and superficial venous access the combination lidocaine and tetracaine cream is intended to provide topical local analgesia for superficial dermatological procedures
['4186'],eugenol,eugenol is not currently available in any fdaapproved drug products there are a number of unapproved otc products that advertise it for the use of toothache eugenol is is also commonly used in combination with zinc oxide in dental procedures for the cementation of temporary prostheses and the temporary restoration of teeth and cavities
"['54989', '221456']",potassium alum,potassium alum is considered safe by the fda and its use is in homepathic or otc products due to its presence in several different drugs the main indications for the use of potassium alum are constipationl1071 cosmetic or drug astringent helping the shrinkage of tissues and the dry of secretionsl1072 oral health care drugl1072 part of formulation in cleansing products skincare products mosturizers face powders and deodorantsl1073 antiperspirantl1074 antifungall1074
['10819'],trimebutine,indicated for symptomatic treatment of irritable bowel syndrome ibs and treatment of postoperative paralytic ileus following abdominal surgery
['33724'],pinaverium,indicated for the treatment and relief of symptoms associated with irritable bowel syndrome ibs associated with abdominal pain bowel disturbances and intestinal discomfort as well as the treatment of symptoms related to functional disorders of the biliary tract
['57257'],tixocortol,tixocortol is indicated for the treatment of rhinitis as a nasal suspension or aerosol it is also used in the form of lozenges for the treatment of pharyngitis and in the form of enemas or rectal solution for the treatment of ulcerative colitis tixocortol can be used orally in a suspension or powder for the treatment of inflammatory conditionsl1077 it is also the substance used for the screening of contact allergies to class a steroidsa31435
['89795'],xanthinol,xanthinol is primarily used in diet supplements to increase the brain metabolism of glucose and obtain atp xanthinol is also used as an agent to reduced cholesterol as it is a vasodilatorl1080 its action allows having an elevated rate of blood flow in the brain which helps improve memory function concentration and awarenessl1079 thus due to his actions xanthinol is indicated to improve cerebrovascular and peripheral vascular disorders as well as hyperlipidaemiasl1081
['2408'],chlortetracycline,used in the manufacuring of medicated animal feeds fda label
['8462'],podophyllin,25 podophyllin in benzoin tincture is indicated for the removal of soft genital venereal warts condylomata acuminata
['3392'],difluocortolone,difluocortolone is used as a topical treatment of the symptoms of inflammatory skin disorders like eczema seborrheic eczema lichen planus and psoriasis all these disorders present as a common characteristic the occurrence of symptoms as itching swelling redness and scalingl1083
['1418'],benzoyl peroxide,benzoyl peroxide is indicated for the treatment of mild to moderate acne vulgaris and rosacea combined with other agents it may be used in the treatment of more severe acne
['76887'],quinagolide,indicated for the treatment of hyperprolactinemia idiopathic or originating from a prolactinsecreting pituitary microadenoma or macroadenoma
['9939'],somatostatin,for the symptomatic treatment of acute bleeding from esophageal varices other treatment options for longterm management of the condition may be considered if necessary once initial control has been established
['235479'],thyroid porcine,replacement or supplemental therapy in hypothyroidism tsh suppression in thyroid cancer nodules goiters and enlargement in chronic thyroiditis diagnostic agent to differentiate suspected hyperthyroidism from euthyroidism
['1306286'],elvitegravir,elvitegravir in combination with an hiv protease inhibitor coadministered with ritonavir and with other antiretroviral drugs is indicated for the treatment of hiv1 infection in antiretroviral treatmentexperienced adults
['1606218'],daclatasvir,indicated for use with sofosbuvir with or without ribavirin for the treatment of chronic hcv genotype 1ab or 3 infection the dosing regimen of 60mg daclatasvir 60 mg with 400mg sofosbuvir once a day is recommended for both genontypes resistance reduced susceptibility to daclatasvir was associated with the polymorphisms at ns5a amino acid positions m28 q30 l31 and y93 in genotypes 1a 1b and 3a patients ns5a resistance testing is recommended for hcv genotype 1ainfected patients with cirrhosis prior to the initiaition of the treatment as the risk of resistance development is higher in genotype 1a patients
['140502'],ancestim,ancestim in combination with filgrastim is indicated for the setting of autologous peripheral blood progenitor cell transplantation in patients at risk of poor peripheral blood progenitor cell mobilisationl1090 the use of ancestim with filgrastim will generate a sustained increase in the number of peripheral blood progenitor cells capable of engraftment it is used for mobilization of progenitor cells from the bone marrow to the peripheral blood with or withouth mobilizing chemotherapy the harvested progenitor cells can be used for transplant following myelosuppressive or myeloablative therapiesl1089
['6581'],magnesium hydroxide,magnesium hydroxide can be used as an antacid or a laxative depending on the administered dose as an antacid it is used for the temporary relief of heartburn upset stomach sour stomach or acid indigestion as a laxative it is used for the relief of occasional constipation by promoting bowel movements for 30 minutes and up to 6 hours
['1720259'],asfotase alfa,indicated for the treatment of patients with perinatalinfantile and juvenile onset hypophosphatasia hpp
['5531'],hydroxyethyl starch,an intravenous solution of hydroxyethyl starch is used to prevent shock following severe blood loss caused by trauma surgery or other issues
['729596'],methoxy polyethylene glycolepoetin beta,for the treatment of patients with anaemia associated with chronic kidney disease not a substitute for rbc transfusion if immediate correction of anemia is required
['1546354'],coenzyme m,mesna is a uroprotective agent and is used prophylactically to reduce ifosfamide and cyclophosphamide induced hemorrhagic cystitis 2
['816249'],pentastarch,the primary intended use of pentastarch is as a substitute for older colloids such as albumin or hetastarch for use in plasma volume expansion
['9894'],sodium nitrite,for sequential use with sodium thiosulfate for the treatment of acute cyanide poisoning that is judged to be lifethreatening fda label
['236381'],poractant alfa,poractant alfa is indicated for the treatment of respiratory distress syndrome rds in premature infants
['3435'],diiodohydroxyquinoline,used in the treatment of amoebiasis
['7909'],paraldehyde,paraldehyde was used historically as a sedative and hypnotic a19735 it has been used in the treatment of seizures as an anticonvulsant a19736
['1482501'],eslicarbazepine acetate,eslicarbazepine acetate is indicated as adjunctive therapy in the treatment of partialonset seizures that are not adequately controlled with conventional therapy in epileptic patients
['1546168'],peginterferon beta1a,for the treatment of patients with relapsing forms of multiple sclerosis
['22968'],dienogest,indicated for use as the treatment of endometriosis alone and as a contraceptive in combination with ethinylestradiol
['54993'],potassium citrate,for the management of renal tubular acidosis hypocitraturic calcium oxalate nephrolithiasis and uric acid lithiasis with or without calcium stones
['340705'],chorionic gonadotropin human,for the treatment of prepubertal cryptorchidism not due to anatomical obstruction for the treatment of selected cases of hypogonadotropic hypogonadism hypogonadism secondary to a pituitary deficiency in males and for the induction of ovulation and pregnancy in the anovulatory infertile woman in whom the cause of anovulation is secondary and not due to primary ovarian failure and who has been appropriately pretreated with human menotropins
['1658314'],brexpiprazole,as an adjunctive treatment of major depressive disorder mdd and for treatment of schizophrenia
['21009'],chromic chloride,for use as a supplement to intravenous solutions given for total parenteral nutrition tpn
['2837'],copper,for use in the supplementation of total parenteral nutrition and in contraception with intrauterine devices fda label l801
"['21833', '150596']",cupric chloride,for use as a supplement to intravenous solutions given for total parenteral nutrition tpn
"['5970', '1546451']",iothalamic acid,conray is indicated for use in excretory urography cerebral angiography peripheral arteriography venography arthrography direct cholangiography endoscopic retrograde cholangiopancreatography contrast enhancement of computed tomographic brain images cranial computerized angiotomography intravenous digital subtraction angiography and arterial digital subtraction angiography conray may also be used for enhancement of computed tomographic scans performed for detection and evaluation of lesions in the liver pancreas kidneys abdominal aorta mediastinum abdominal cavity and retroperitoneal space
['27792'],ioversol,optiray 350 is indicated in adults for peripheral and coronary arteriography and left ventriculography optiray 350 is also indicated for contrast enhanced computed tomographic imaging of the head and body intravenous excretory urography intravenous digital subtraction angiography and venography optiray 350 is indicated in children for angiocardiography optiray 320 is indicated in adults for angiography throughout the cardiovascular system the uses include cerebral coronary peripheral visceral and renal arteriography venography aortography and left ventriculography optiray 320 is also indicated for contrast enhanced computed tomographic imaging of the head and body and intravenous excretory urography optiray 320 is indicated in children for angiocardiography contrast enhanced computed tomographic imaging of the head and body and intravenous excretory urography optiray 300 is indicated for cerebral angiography and peripheral arteriography optiray 300 is also indicated for contrast enhanced computed tomographic imaging of the head and body venography and intravenous excretory urography optiray 240 is indicated for cerebral angiography and venography optiray 240 is also indicated for contrast enhanced computed tomographic imaging of the head and body and intravenous excretory urography
['27793'],ioxilan,when administered intraarterially ioxilan is indicated for the following diagnostic tests cerebral arteriography 300 mgiml coronary arteriography and left ventriculography 350 mgiml visceral angiography350 mgiml aortography350 mgiml and peripheral arteriography350 mgiml when administered intravenously ioxilan is indicated for excretory urography and contrast enhanced computed tomographic cect imaging of the head and body 300 and 350 mgiml
['27863'],isosulfan blue,isosulfan blue is a synthetic visual lymphatic imaging agent isosulfan blue upon subcutaneous administration delineates the lymphatic vessels draining the region of injection it is an adjunct to lymphography in primary and secondary lymphedema of the extremities chyluria chylous ascites or chylothorax lymph node involvement by primary or secondary neoplasm lymph node response to therapeutic modalities
"['1358207', '1488818']",technetium tc99m medronate,technetium tc 99m medronate is indicated for use as a bone imaging agent to delineate areas of altered osteogenesis
['7806'],oxygen,oxygen therapy in clinical settings is used across diverse specialties including various types of anoxia hypoxia or dyspnea and any other disease states and conditions that reduce the efficiency of gas exchange and oxygen consumption such as respiratory illnesses trauma poisonings and drug overdoses oxygen therapy tries to achieve hyperoxia l745 to reduce the extent of hypoxiainduced tissue damage and malfunction
['8825'],protamine sulfate,protamine sulfate is usually administered to reverse the large dose of heparin administered during certain surgeries especially heart surgery
['9800'],sincalide,as the product kinevac fda sincalide is used for the following indications 1 to stimulate gallbladder contraction as may be assessed by various methods of diagnostic imaging or to obtain by duodenal aspiration a sample of concentrated bile for analysis of cholesterol bile salts phospholipids and crystals 2 to stimulate pancreatic secretion especially in conjunction with secretin prior to obtaining a duodenal aspirate for analysis of enzyme activity composition and cytology 3 to accelerate the transit of a barium meal through the small bowel thereby decreasing the time and extent of radiation associated with fluoroscopy and xray examination of the intestinal tract
['1659191'],sonidegib,sonidegib is approved for use in the us and eu for treatment of adults with locally advanced basal cell carcinoma bcc that has recurred post surgery or radiation therapy it is also approved for adult patients with bcc who are not eligible for surgery or radiation therapy 2
['1665222'],uridine triacetate,marketed as the product xuriden fda uridine triacetate is indicated for the treatment of hereditary orotic aciduria marketed as the product vistogard fda uridine triacetate is indicated for the emergency treatment of adult and pediatric patients in the following situations following a fluorouracil or capecitabine overdose regardless of the presence of symptoms or who exhibit earlyonset severe or lifethreatening toxicity affecting the cardiac or central nervous system andor earlyonset unusually severe adverse reactions eg gastrointestinal toxicity andor neutropenia within 96 hours following the end of fluorouracil or capecitabine administration
"['11295', '107129']",water,for diluting or dissolving drugs for intravenous intramuscular or subcutaneous injection according to instructions of the manufacturer of the drug to be administered fda label
"['24909', '1484283']",iron saccharate,iron sucrose is elemental iron as an injection it replenishes body iron stores in patients with iron deficiency
['1607976'],ferric pyrophosphate,for the replacement of iron to maintain hemoglobin in adult patients with hemodialysisdependent chronic kidney disease hdd ckd
['1492940'],florbetaben 18f,florbetaben is a radioactive diagnostic agent indicated for positron emission tomography pet imaging of the brain to estimate βamyloid neuritic plaque density in adult patients with cognitive impairment who are being evaluated for alzheimers disease ad and other causes of cognitive decline
['1427224'],florbetapir 18f,florbetapir 18f is indicated for positron emission tomography pet imaging of the brain to estimate βamyloid neuritic plaque density in adult patients with cognitive impairment who are being evaluated for alzheimers disease ad and other causes of cognitive decline
['1486025'],flutemetamol 18f,flutemetamol f18 is indicated for positron emission tomography pet imaging of the brain to estimate β amyloid neuritic plaque density in adult patients with cognitive impairment who are being evaluated for alzheimers disease ad or other causes of cognitive decline
['7456'],nitrogen,liquid nitrogen is used mainly as a cryogenic agent for the treatment of various benign and malignant skin lesions
['9863'],sodium chloride,this intravenous solution is indicated for use in adults and pediatric patients as a source of electrolytes and water for hydration also designed for use as a diluent and delivery system for intermittent intravenous administration of compatible drug additives
"['56466', '1310549']",sodium citrate,used as an anticoagulant during plasmophoresis as well as a neutralizing agent in the treatment of upset stomach and acidic urine fda label l788 l789
['5140'],helium,for use in patients who are not getting enough oxygen into their blood due to blockages in the lungs from pathological conditions or injuries suggested potential benefit in upper airway obstruction in severe asthma and in exacerbations of copdcold helium may be used in place of carbon monoxide during laparoscopic surgeries as it lowers the risk of developing respiratory acidosis in selected patients
['27781'],iopromide,iopromide as the product iovist is indicated for use as an xray contrast agent in the following procedures intraarterial digital subtraction angiography iadsa 150 mg iml cerebral arteriography and peripheral arteriography 300 mg iml coronary arteriography and left ventriculography visceral angiography and aortography 370 mg iml peripheral venography 240 mg iml excretory urography 300 mg iml contrast computed tomography ct imaging of head and body 300 mg iml and 370 mg iml
['2034'],carbon dioxide,carbon dioxide is commonly used as an insufflation gas for minimal invasive surgery laparoscopy endoscopy and arthroscopy to enlarge and stabilize body cavities to provide better visibility of the surgical area it has been used also in cryotherapy and as respiratory stimulant before and after anesthesia it could be used also in expansion of blood vessels if required to increase carbon dioxide level after rapid breathing and to stimulate breathing after a period of nonbreathing
['10878'],trypan blue,trypan blue is indicated for use as an aid in ophthalmic surgery by staining the epiretinal membranes during ophthalmic surgical vitrectomy procedures facilitating removal of the tissue
['1482913'],technetium tc99m sestamibi,technetium tc 99m sestamibi is indicated for 1 detecting coronary artery disease by localizing myocardial ischemia reversible defects and infarction nonreversible defects and 2 evaluating myocardial function and developing information for use in patient management decisions
['1431726'],technetium tc99m exametazime,technetium tc99m exametazime scintigraphy with or without methylene blue stabilization may be useful as an adjunct in the detection of altered regional cerebral perfusion in stroke tc99m exametazime without methylene blue stabilization is indicated for leukocyte labeled scintigraphy as an adjunct in the localization of intraabdominal infection and inflammatory bowel disease
['37665'],technetium tc99m disofenin,technetium tc99m disofenin is indicated as a hepatobiliary imaging agent hepatolite is indicated in the diagnosis of acute cholecystitis as well as to rule out the occurrence of acute cholecystitis in suspected patients with right upper quadrant pain fever jaundice right upper quadrant tenderness and mass or rebound tenderness but not limited to these signs and symptoms
['1488368'],technetium tc99m pyrophosphate,for use as a skeletal imaging agent used to demonstrate areas of altered osteogenesis and a cardiac imaging agent used as an adjunct in the diagnosis of acute myocardial infarction fda label may also be used to image gated blood pools and detect gastrointetinal bleeding
['3634'],dosulepin,indicated in the treatment of symptoms of depressive illness especially where an antianxiety effect is required
['1597381'],dasabuvir,dasabuvir in combination with db09296 db09297 and db00503 as viekira pak is indicated for the treatment of patients with hcv genotype 1a with db00811 or genotype 1b without db00811 including those with compensated cirrhosis fda label
['11196'],viloxazine,indicated for the treatment of clinical depression
['10561'],moxisylyte,for the treatment of erectile dysfunction
['1011650'],pegloticase,for the treatment of chronic gout in adult patients refractory to conventional therapy
['33431'],pholcodine,for use as a cough suppressant
['8351'],piracetam,for the treatment of myoclonus brief involuntary twitching of a muscle or a group of muscles
['237162'],dexketoprofen,for shortterm treatment of mild to moderate pain including dysmenorrhoea
['38377'],tolfenamic acid,for the treatment of migraine
['2601'],clonixin,used primarily in the treatment of chronic arthritic conditions and certain soft tissue disorders associated with pain and inflammation
['31748'],nicorandil,indicated for the prevention and treatment of chronic stable angina pectoris and reduction in the risk of acute coronary syndromes
"['4385', '831503']",fibrinogen human,for the treatment of acute bleeding episodes in patients with congenital fibrinogen deficiency including afibrinogenemia and hypofibrinogenemia
['29961'],melperone,for the treatment of schizophrenia
['40003'],zotepine,for the treatment of acute and chronic schizophrenia
['39879'],barnidipine,for the treatment of hypertension and chronic stable angina
['1599831'],conestat alfa,for the treatment of acute attacks of hereditary angioedema hae due to c1 esterase inhibitor deficiency in adults
['28382'],lacidipine,for the treatment of hypertension
['29275'],manidipine,for the treatment of hypertension
['6878'],methylene blue,methylene blue has several indications in medicine 1 found to improve the hypotension associated with various clinical states 2 antiseptic in urinary tract infections 3 improves hypoxia and hyper dynamic circulation in cirrhosis of liver and severe hepatopulmonary syndrome 4 results in transient and reproducible improvement in blood pressure and cardiac function in septic shock 5 investigated for the treatment of alzheimers disease 6 treatment of ifofosamide induced neurotoxicity
['30257'],moxonidine,for the treatment of mild to moderate essential or primary hypertension l1025 effective as most firstline antihypertensives when used as monotherapy a27137
['38382'],toloxatone,for the treatment of depression
['42635'],dextran,for use as an antithrombotic antiplatelet to reduce blood viscosity and as a volume expander in hypovolaemia
['4582'],tegafur,indicated for the treatment of cancer usually in combination with other biochemically modulating drugs
['280611'],bemiparin,used in the prevention and treatment of venous thromboembolism deep vein thrombosis and pulmonary embolism and in the treatment of myocardial infarction
"['75960', '75961']",reviparin,used in the prevention and treatment of venous thromboembolism deep vein thrombosis and pulmonary embolism and in the treatment of myocardial infarction
['69528'],parnaparin,used in the prevention and treatment of venous thromboembolism deep vein thrombosis and pulmonary embolism and in the treatment of myocardial infarction
['152610'],certoparin,used in the prevention and treatment of venous thromboembolism deep vein thrombosis and pulmonary embolism and in the treatment of myocardial infarction
['1716203'],patiromer,for the treatment of hyperkalemia
['1716191'],idarucizumab,for use in patients treated with dabigatran when reversal of the anticoagulant effects of dabigatran is needed for emergency surgeryurgent procedures and in lifethreatening or uncontrolled bleeding
['1440051'],lixisenatide,for use as an antihyperglycemic agent in the treatment of t2dm fda label
['1373391'],technetium tc99m tilmanocept,used diagnostically for the imaging of lymph nodes
['1546457'],picosulfuric acid,for cleansing of the colon as a preparation for colonoscopy in adults
['33332'],phenylacetic acid,for use as adjunctive therapy for the treatment of acute hyperammonemia and associated encephalopathy in patients with deficiencies in enzymes of the urea cycle
['21406'],ubidecarenone,the diet supplements containing ubidecarenone are indicated as stated in the product label to assist individuals with cardiovascular complaints including congestive heart failure and systolic hypertension in the product ubidecarenone is used to increase the cardiac input as well as for the prevention of several other diseases like parkinson fibromyalgia migraine periodontal disease and diabetes based on preclinical studiesl1064 it is important to highlight that these products are not fda approved and it is recommended to use under discretion
['1653781'],eluxadoline,for the treatment of irritable bowel syndrome with diarrhea ibsd
['18346'],artesunate,for the treatment of severe malaria caused by plasmodium falciparum in adults and children l891
['47181'],bismuth subcitrate,for the treatment of peptic ulcer and gastrooesophageal reflux disease gord treatment of inflammatory and erosiveulcerous diseases of gastric and duodenal mucosa gastritis ulcer disease of the stomach and duodenum functional nonulcerous dyspepsia erosive duodenitis postoperative inflammatory and erosive changes anastomositis peptic ulcer of anastomosis
['4981'],sodium aurothiomalate,as antiinflammatory agent for the treatment of arthritis diseasemodifying antirheumatic drug dmard
['1425419'],choline c 11,for positron emission tomography pet imaging of patients with suspected prostate cancer recurrence and noninformative bone scintigraphy computerized tomography ct or magnetic resonance imaging mri
['272'],activated charcoal,used as a antidote to treat poisonings following excessive oral ingestion of certain medications or poisons
['1655922'],lumacaftor,when given in combination with db08820 as the fixed dose combination product orkambi lumacaftor is indicated for the treatment of cystic fibrosis cf in patients age 6 years and older who are homozygous for the f508del mutation in the cftr gene fda label
['29170'],magnesium trisilicate,for the treatment of peptic ulcers relieving indigestion and heartburn
['10735'],trapidil,used in the treatment of chronic stable angina a19770
['33739'],pipamperone,used in the treatment of schizophrenia
"['8516', '221147', '1310594', '1314384']",polyethylene glycol,used to treat and prevent constipation
['38252'],tianeptine,used primarily in the treatment of major depressive disorder although it may also be used to treat asthma or irritable bowel syndrome
