['237057'],Lepirudin,For the treatment of heparin-induced thrombocytopenia
['27792'],Ioversol,"Optiray 350 is indicated in adults for peripheral and coronary arteriography and left ventriculography. Optiray 350 is also indicated for contrast enhanced computed tomographic imaging of the head and body, intravenous excretory urography, intravenous digital subtraction angiography and venography. Optiray 350 is indicated in children for angiocardiography. Optiray 320 is indicated in adults for angiography throughout the cardiovascular system. The uses include cerebral, coronary, peripheral, visceral and renal arteriography, venography, aortography, and left ventriculography. Optiray 320 is also indicated for contrast enhanced computed tomographic imaging of the head and body, and intravenous excretory urography. Optiray 320 is indicated in children for angiocardiography, contrast enhanced computed tomographic imaging of the head and body, and intravenous excretory urography. Optiray 300 is indicated for cerebral angiography and peripheral arteriography. Optiray 300 is also indicated for contrast enhanced computed tomographic imaging of the head and body, venography, and intravenous excretory urography. Optiray 240 is indicated for cerebral angiography and venography. Optiray 240 is also indicated for contrast enhanced computed tomographic imaging of the head and body and intravenous excretory urography."
['27793'],Ioxilan,"When administered  intra-arterially, Ioxilan is indicated for the following diagnostic tests: cerebral arteriography (300 mgI/mL),  coronary arteriography and left ventriculography (350 mgI/mL), visceral angiography(350 mgI/mL), aortography(350 mgI/mL), and peripheral arteriography(350 mgI/mL). When administered intravenously, Ioxilan is indicated for excretory urography and contrast enhanced computed tomographic (CECT) imaging of the head and body (300 and 350 mgI/mL)."
['27863'],Isosulfan blue,"Isosulfan Blue is a synthetic visual lymphatic imaging agent. Isosulfan blue upon subcutaneous administration, delineates the lymphatic vessels draining the region of injection. It is an adjunct to lymphography in: primary and secondary lymphedema of the extremities; chyluria, chylous ascites or chylothorax; lymph node involvement by primary or secondary neoplasm; lymph node response to therapeutic modalities. "
"['1358207', '1488818']",Technetium Tc-99m medronate,Technetium Tc 99m Medronate is indicated for use as a bone imaging agent to delineate areas of altered osteogenesis.
['7806'],Oxygen,"Oxygen therapy in clinical settings is used across diverse specialties, including various types of anoxia, hypoxia or dyspnea and any other disease states and conditions that reduce the efficiency of gas exchange and oxygen consumption such as respiratory illnesses, trauma, poisonings and drug overdoses. Oxygen therapy tries to achieve hyperoxia [L745] to reduce the extent of hypoxia-induced tissue damage and malfunction. "
['8825'],Protamine sulfate,"Protamine sulfate is usually administered to reverse the large dose of heparin administered during certain surgeries, especially heart surgery. "
['9800'],Sincalide,"As the product Kinevac (FDA), sincalide is used for the following indications: 1) to stimulate gallbladder contraction, as may be assessed by various methods of diagnostic imaging, or to obtain by duodenal aspiration a sample of concentrated bile for analysis of cholesterol, bile salts, phospholipids, and crystals; (2) to stimulate pancreatic secretion (especially in conjunction with secretin) prior to obtaining a duodenal aspirate for analysis of enzyme activity, composition, and cytology; (3) to accelerate the transit of a barium meal through the small bowel, thereby decreasing the time and extent of radiation associated with fluoroscopy and x-ray examination of the intestinal tract."
['1659191'],Sonidegib,Sonidegib is approved for use in the US and EU for treatment of adults with locally advanced basal cell carcinoma (BCC) that has recurred post surgery or radiation therapy.  It is also approved for adult patients with BCC who are not eligible for surgery or radiation therapy. (2)
['1665222'],Uridine triacetate,"Marketed as the product Xuriden (FDA), uridine triacetate is indicated for the treatment of hereditary orotic aciduria. Marketed as the product Vistogard (FDA), uridine triacetate is indicated for the emergency treatment of adult and pediatric patients in the following situations: following a fluorouracil or capecitabine overdose regardless of the presence of symptoms; or who exhibit early-onset, severe or life-threatening toxicity affecting the cardiac or central nervous system, and/or early-onset, unusually severe adverse reactions (e.g., gastrointestinal toxicity and/or neutropenia) within 96 hours following the end of fluorouracil or capecitabine administration. "
"['11295', '107129']",Water,"For diluting or dissolving drugs for intravenous, intramuscular or subcutaneous injection, according to instructions of the manufacturer of the drug to be administered [FDA Label]."
"['24909', '1484283']",Iron saccharate,Iron sucrose is elemental iron as an injection. It replenishes body iron stores in patients with iron deficiency.
['1607976'],Ferric pyrophosphate,For the replacement of iron to maintain hemoglobin in adult patients with hemodialysis-dependent chronic kidney disease (HDD- CKD).
['1492940'],Florbetaben (18F),Florbetaben is a radioactive diagnostic agent indicated for Positron Emission Tomography (PET) imaging of the brain to estimate β-amyloid neuritic plaque density in adult patients with cognitive impairment who are being evaluated for Alzheimer’s Disease (AD) and other causes of cognitive decline.
['1427224'],Florbetapir (18F),Florbetapir 18F is indicated for Positron Emission Tomography (PET) imaging of the brain to estimate β-amyloid neuritic plaque density in adult patients with cognitive impairment who are being evaluated for Alzheimer's Disease (AD) and other causes of cognitive decline.
['1486025'],Flutemetamol (18F),Flutemetamol F18 is indicated for Positron Emission Tomography (PET) imaging of the brain to estimate β amyloid neuritic plaque density in adult patients with cognitive impairment who are being evaluated for Alzheimer's disease (AD) or other causes of cognitive decline.
['7456'],Nitrogen,Liquid nitrogen is used mainly as a cryogenic agent for the treatment of various benign and malignant skin lesions.
['9863'],Sodium Chloride,"This intravenous solution is indicated for use in adults and pediatric patients as a source of electrolytes and water for hydration. Also, designed for use as a diluent and delivery system for intermittent intravenous administration of compatible drug additives. "
"['56466', '1310549']",Sodium Citrate,Used as an anticoagulant during plasmophoresis as well as a neutralizing agent in the treatment of upset stomach and acidic urine [FDA Label] [L788] [L789].
['5140'],Helium,"For use in patients who are not getting enough oxygen into their blood due to blockages in the lungs from pathological conditions or injuries. Suggested potential benefit in upper airway obstruction, in severe asthma, and in exacerbations of COPD/COLD. Helium may be used in place of carbon monoxide during laparoscopic surgeries as it lowers the risk of developing respiratory acidosis in selected patients. "
['27781'],Iopromide,"Iopromide, as the product Iovist, is indicated for use as an X-ray contrast agent in the following procedures: Intra-arterial digital subtraction angiography (IA-DSA) (150 mg I/mL) Cerebral arteriography and peripheral arteriography (300 mg I/mL) Coronary arteriography and left ventriculography, visceral angiography and aortography (370 mg I/mL) Peripheral venography (240 mg I/mL) Excretory urography (300 mg I/mL) Contrast computed tomography (CT) imaging of head and body (300 mg I/mL and 370 mg I/mL) "
['2034'],Carbon dioxide,"Carbon dioxide is commonly used as an insufflation gas for minimal invasive surgery (laparoscopy, endoscopy, and arthroscopy) to enlarge and stabilize body cavities to provide better visibility of the surgical area. It has been used also in cryotherapy and as respiratory stimulant before and after anesthesia.  It could be used also in expansion of blood vessels if required, to increase carbon dioxide level after rapid breathing, and to stimulate breathing after a period of nonbreathing. "
['10878'],Trypan blue,"Trypan blue is indicated for use as an aid in ophthalmic surgery by staining the epiretinal membranes during ophthalmic surgical vitrectomy procedures, facilitating removal of the tissue. "
['1482913'],Technetium Tc-99m sestamibi,Technetium Tc 99m Sestamibi is indicated for: 1) detecting coronary artery disease by localizing myocardial ischemia (reversible defects) and infarction (non-reversible defects); and 2) evaluating myocardial function and developing information for use in patient management decisions.
['1431726'],Technetium Tc-99m exametazime,Technetium Tc99m exametazime scintigraphy (with or without methylene blue stabilization) may be useful as an adjunct in the detection of altered regional cerebral perfusion in stroke. Tc99m exametazime without methylene blue stabilization is indicated for leukocyte labeled scintigraphy as an adjunct in the localization of intra-abdominal infection and inflammatory bowel disease.
['37665'],Technetium Tc-99m disofenin,"Technetium Tc99m Disofenin is indicated as a hepatobiliary imaging agent. Hepatolite is indicated in the diagnosis of acute cholecystitis as well as to rule out the occurrence of acute cholecystitis in suspected patients with right upper quadrant pain, fever, jaundice, right upper quadrant tenderness and mass or rebound tenderness, but not limited to these signs and symptoms."
['1488368'],Technetium Tc-99m pyrophosphate,"For use as a skeletal imaging agent used to demonstrate areas of altered osteogenesis, and a cardiac imaging agent used as an adjunct in the diagnosis of acute myocardial infarction [FDA Label]. May also be used to image gated blood pools and detect gastrointetinal bleeding."
['3634'],Dosulepin,"Indicated in the treatment of symptoms of depressive illness, especially where an anti-anxiety effect is required."
['1597381'],Dasabuvir,"Dasabuvir, in combination with [DB09296], [DB09297], and [DB00503] (as Viekira Pak) is indicated for the treatment of patients with HCV genotype 1a with [DB00811] or genotype 1b without [DB00811] including those with compensated cirrhosis [FDA Label]."
['11196'],Viloxazine,Indicated for the treatment of clinical depression.
['10561'],Moxisylyte,For the treatment of erectile dysfunction.
['1011650'],Pegloticase,For the treatment of chronic gout in adult patients refractory to conventional therapy.
['33431'],Pholcodine,For use as a cough suppressant.
['8351'],Piracetam,"For the treatment of myoclonus (brief, involuntary twitching of a muscle or a group of muscles)."
['28908'],Loxoprofen,
['237162'],Dexketoprofen,"For short-term treatment of mild to moderate pain, including dysmenorrhoea."
['23687'],Droxicam,
['38377'],Tolfenamic Acid,For the treatment of migraine.
['2601'],Clonixin,Used primarily in the treatment of chronic arthritic conditions and certain soft tissue disorders associated with pain and inflammation.
['31748'],Nicorandil,Indicated for the prevention and treatment of chronic stable angina pectoris and reduction in the risk of acute coronary syndromes.
"['4385', '831503']",Fibrinogen Human,"For the treatment of acute bleeding episodes in patients with congenital fibrinogen deficiency, including afibrinogenemia and hypofibrinogenemia."
['29961'],Melperone,For the treatment of schizophrenia.
['40003'],Zotepine,For the treatment of acute and chronic schizophrenia.
['39879'],Barnidipine,For the treatment of hypertension and chronic stable angina.
['1599831'],Conestat alfa,For the treatment of acute attacks of hereditary angioedema (HAE) due to C1 esterase inhibitor deficiency in adults.
['28382'],Lacidipine,For the treatment of hypertension.
['29275'],Manidipine,For the treatment of hypertension.
['6878'],Methylene blue,"Methylene blue has several indications in medicine: 1. found to improve the hypotension associated with various clinical states. 2. Antiseptic in urinary tract infections. 3. Improves hypoxia and hyper dynamic circulation in cirrhosis of liver and severe hepatopulmonary syndrome. 4. Results in transient and reproducible improvement in blood pressure and cardiac function in septic shock. 5. Investigated for the treatment of Alzheimer's disease. 6. Treatment of ifofosamide induced neurotoxicity."
['30257'],Moxonidine,For the treatment of mild to moderate essential or primary hypertension [L1025]. Effective as most first-line antihypertensives when used as monotherapy [A27137].
['38382'],Toloxatone,For the treatment of depression.
['42635'],Dextran,"For use as an antithrombotic (antiplatelet), to reduce blood viscosity, and as a volume expander in hypovolaemia."
['4582'],Tegafur,Indicated for the treatment of cancer usually in combination with other biochemically modulating drugs.
['280611'],Bemiparin,Used in the prevention and treatment of venous thromboembolism (deep vein thrombosis and pulmonary embolism) and in the treatment of myocardial infarction.
"['75960', '75961']",Reviparin,Used in the prevention and treatment of venous thromboembolism (deep vein thrombosis and pulmonary embolism) and in the treatment of myocardial infarction.
['69528'],Parnaparin,Used in the prevention and treatment of venous thromboembolism (deep vein thrombosis and pulmonary embolism) and in the treatment of myocardial infarction.
['152610'],Certoparin,Used in the prevention and treatment of venous thromboembolism (deep vein thrombosis and pulmonary embolism) and in the treatment of myocardial infarction.
['1716203'],Patiromer,For the treatment of hyperkalemia.
['1716191'],Idarucizumab,For use in patients treated with Dabigatran when reversal of the anticoagulant effects of dabigatran is needed for emergency surgery/urgent procedures and in life-threatening or uncontrolled bleeding.
['1440051'],Lixisenatide,For use as an antihyperglycemic agent in the treatment of T2DM [FDA Label].
['1373391'],Technetium Tc-99m tilmanocept,Used diagnostically for the imaging of lymph nodes.
['1546457'],Picosulfuric acid,For cleansing of the colon as a preparation for colonoscopy in adults.
['33332'],Phenylacetic acid,For use as adjunctive therapy for the treatment of acute hyperammonemia and associated encephalopathy in patients with deficiencies in enzymes of the urea cycle.
['21406'],Ubidecarenone,"The diet supplements containing ubidecarenone are indicated, as stated in the product label, to assist individuals with cardiovascular complaints including congestive heart failure and systolic hypertension. In the product, ubidecarenone is used to increase the cardiac input as well as for the prevention of several other diseases like Parkinson, fibromyalgia, migraine, periodontal disease and diabetes, based on preclinical studies.[L1064] It is important to highlight that these products are not FDA approved and it is recommended to use under discretion."
['1653781'],Eluxadoline,For the treatment of irritable bowel syndrome with diarrhea (IBS-D).
['18346'],Artesunate,For the treatment of severe malaria caused by *Plasmodium falciparum* in adults and children [L891]
['47181'],Bismuth Subcitrate,"For the treatment of peptic ulcer and gastro-oesophageal reflux disease (GORD). Treatment of inflammatory and erosive-ulcerous diseases of gastric and duodenal mucosa:  gastritis, ulcer disease of the stomach and duodenum, functional non-ulcerous dyspepsia, erosive duodenitis, post-operative inflammatory and erosive changes – anastomositis, peptic ulcer of anastomosis"
['4981'],Sodium aurothiomalate,"As anti-inflammatory agent for the treatment of arthritis. Disease-modifying antirheumatic drug, DMARD."
['1425419'],Choline C 11,"For positron emission tomography (PET) imaging of patients with suspected prostate cancer recurrence and non-informative bone scintigraphy, computerized tomography (CT) or magnetic resonance imaging (MRI)."
['272'],Activated charcoal,Used as a antidote to treat poisonings following excessive oral ingestion of certain medications or poisons.
['1655922'],Lumacaftor,"When given in combination with [DB08820] as the fixed dose combination product Orkambi, lumacaftor is indicated for the treatment of cystic fibrosis (CF) in patients age 6 years and older who are homozygous for the F508del mutation in the CFTR gene [FDA Label]."
['29170'],Magnesium Trisilicate,"For the treatment of peptic ulcers. Relieving indigestion and heartburn."
['7023'],Molsidomine,
['10735'],Trapidil,Used in the treatment of chronic stable angina [A19770].
['30225'],Morniflumate,
['33739'],Pipamperone,Used in the treatment of schizophrenia.
"['8516', '221147', '1310594', '1314384']",Polyethylene glycol,Used to treat and prevent constipation.
['38252'],Tianeptine,"Used primarily in the treatment of major depressive disorder, although it may also be used to treat asthma or irritable bowel syndrome."
['1665496'],Rolapitant,"Rolapitant is indicated in combination with other antiemetic agents in adults for the prevention of delayed nausea and vomiting associated with initial and repeat courses of emetogenic cancer chemotherapy, including, but not limited to, highly emetogenic chemotherapy."
['1656328'],Sacubitril,"Used in combination with valsartan to reduce the risk of cardiovascular events in patients with chronic heart failure (NYHA Class II-IV) and reduced ejection fraction.  It is usually administered in conjunction with other heart failure therapies, in place of an ACE inhibitor or other ARB."
"['1546394', '1546415']",Iodide I-131,Therapeutic solutions of Sodium Iodide-131 are indicated for the treatment of hyperthyroidism and thyroid carcinomas that take up iodine.  Palliative effects may be observed in patients with advanced thyroid malignancy if the metastatic lesions take up iodine.  It is also indicated for use in performance of the radioactive iodide (RAI) uptake test to evaluate thyroid function.
['236770'],Talniflumate,For the treatment of cystic fibrosis.
['1597371'],Ombitasvir,"When used in combination with [DB09297] and [DB00503] (as the fixed dose product Technivie), Ombitasvir is indicated in combination with [DB00811] for the treatment of patients with genotype 4 chronic hepatitis C virus (HCV) infection without cirrhosis [L866]. When used in combination with [DB09297], [DB00503], and [DB09183] (as the fixed dose product Viekira Pak), Ombitasvir is indicated for the treatment of HCV genotype 1b and ,when combined with [DB00811], for the treatment of HCV genotype 1a [FDA Label]"
['1597373'],Paritaprevir,"When used within the fixed-dose combination product with [DB09296], [DB09183], and [DB00503] as the FDA-approved product Viekira Pak, paritaprevir is indicated for the treatment of HCV genotype 1b without cirrhosis or with compensated cirrhosis, and when combined with [DB00811] for the treatment of HCV genotype 1a without cirrhosis or with compensated cirrhosis. When used within the fixed-dose combination product with [DB09296] and [DB00503] as the FDA- and Health Canada-approved product Technivie, paritaprevir is indicated in combination with [DB00811] for the treatment of patients with genotype 4 chronic hepatitis C virus (HCV) infection without cirrhosis or with compensated cirrhosis. When used within the fixed-dose combination product with [DB09296], [DB09183], and [DB00503] as the Health Canada-approved, commercially available product Holkira Pak, paritaprevir is indicated for the treatment of HCV genotype 1b with or without cirrhosis, and when combined with [DB00811] for the treatment of HCV genotype 1a with or without cirrhosis."
['1721603'],Tenofovir alafenamide,For use in the treatment of HIV infection and chronic hepatitis B.
['1085787'],Butylscopolamine,Used to treat abdmoninal cramping and pain [FDA Label].
['2473'],Chondroitin sulfate,For the treatment of osteoarthritis.
['1659152'],Alirocumab,Alirocumab is indicated as an adjunct to diet and maximally tolerated statin therapy in adults who require additional LDL-cholesterol (LDL-C) lowering due to heterozygous familial hypercholesterolemia or clinical atherosclerotic cardiovascular disease.
['1665684'],Evolocumab,For the treatment of heterozygous/homozygous familial hypercholesterolemia or clinical atherosclerotic cardiovascular disease in patients on maximum tolerated statin therapy requiring additional LDL-cholesterol lowering.
['1488293'],Coagulation Factor XIII A-Subunit (Recombinant),For routine prophylaxis of bleeding in patients with congenital factor XIII A-Subunit deficiency.
['20063'],Polycarbophil calcium,Polycarbophil is used to treat constipation and to help maintain regular bowel movements.
['1427177'],Antilymphocyte immunoglobulin (horse),For prevention of renal transplant rejection and for the treatment of aplastic anemia.
['1426458'],Ioxaglic acid,For use as  a low-osmolality contrast medium.
['1489762'],Technetium Tc-99m pertechnetate,"Sodium Pertechnetate Tc99m Injection is indicated for use in adults for imaging in the following tissues: thyroid, salivary gland,  urinary bladder (for detection of vesico-ureteral reflux), and nasolacrimal drainage system (dacryoscintigraphy). It is indicated for use in children for imaging the following tissues: thyroid and urinary bladder."
['259282'],Xenon-133,Inhalation of Xenon Xe 133 Gas has proved valuable for the evaluation of pulmonary function and for imaging the lungs. It may also be applied to assessment of cerebral flow.
['91588'],Thallous Chloride,"For use as a diagnostic radiopharmaceutical. It is indicated to help diagnose heart disease (eg, coronary artery disease, heart attack). It is also used for the diagnosis of parathyroid problems. "
['253166'],"Synthetic Conjugated Estrogens, A",For the treatment of moderate to severe vasomotor symptoms due to menopause and for treatment of moderate to severe symptoms of vulvar and vaginal atrophy due to menopause.
['618365'],"Synthetic Conjugated Estrogens, B","For the treatment of moderate to severe vasomotor symptoms due to menopause and for the treatment of moderate to severe vaginal dryness, pain with intercourse, and symptoms of vulvar and vaginal atrophy due to menopause."
['7983'],Procaine benzylpenicillin,"For the treatment of a number of bacterial infections such as syphilis, anthrax, mouth infections, pneumonia and diphtheria. "
['11423'],Zinc oxide,"For adjunctive treatment of diaper dermatitis. Also, it can be used to treat minor skin irritations (eg, cuts, burns, and scrapes, poison ivy). Zinc oxide can be used in ointments, creams, and lotions to protect against sunburn and other damage to the skin caused by ultraviolet light."
['39954'],Zinc sulfate,"This medication is a mineral used to treat or prevent low levels of zinc. In medicine it is used together with oral rehydration therapy (ORT) and an astringent. Zinc Sulfate Injection, USP is indicated for use as a supplement to intravenous solutions given for TPN. "
['7982'],Benzathine benzylpenicillin,"For the treatment of several infections include: acute glomerulonephritis, respiratory tract infections, rheumatic fever and chorea, rheumatic heart disease, rheumatic heart disease, syphilis and other venereal diseases."
['10167'],Sulbactam,"Sulbactam is currently available in combination products with ampicillin. Within this formulation it is indicated  for the treatment of infections due to susceptible strains of the designated microorganisms in the conditions listed below. Skin and Skin Structure Infections caused by beta-lactamase producing strains of Staphylococcus aureus, Escherichia coli, Klebsiella spp. (including K. pneumoniae), Proteus mirabilis, Bacteroides fragilis, Enterobacter spp., and Acinetobacter calcoaceticus. Intra-Abdominal Infections caused by beta-lactamase producing strains of Escherichia coli, Klebsiella spp. (including K. pneumoniae), Bacteroides spp. (including B. fragilis), and Enterobacter spp. Gynecological Infections caused by beta-lactamase producing strains of Escherichia coli, and Bacteroides spp. (including B. fragilis)."
['9873'],Sodium fluoride,To prevent cavities.
['1305558'],Ammonia N-13,For diagnostic Positron Emission Tomography (PET) imaging of the myocardium under rest or pharmacologic stress conditions to evaluate myocardial perfusion in patients with suspected or existing coronary artery disease.
['466977'],Tegafur-uracil,For the treatment of cancer.
['1741397'],"Antihemophilic Factor (Recombinant), PEGylated",For the treatment of hemophilia A (congenital factor VIII deficiency).
['1721560'],Osimertinib,"Osimertinib is indicated for the treatment of patients with metastatic epidermal growth factor receptor (EGFR) T790M mutation-positive non-small cell lung cancer (NSCLC), as detected by an FDA- approved test, who have progressed on or after EGFR-TKI therapy."
['1721947'],Daratumumab,For the treatment of patients with multiple myeloma who have received at least three prior lines of therapy (a proteasome inhibitor (PI) and an immunomodulatory agent) or who are double-refractory to a PI and an immunomodulatory agent. This indication was approved by accelerated approval based on response rate.
['52549'],Kappadione,
['5976'],Iopodic acid,
['141440'],Alatrofloxacin,
['411'],Medical air,For use as a source of clean air [FDA Label].
['6774'],Mersalyl,
['4850'],Glucose,"Glucose pharmaceutical formulations (oral tablets, injections) are indicated for caloric supply and carbohydrate supplementation in case of nutrient deprivation. It is also used in metabolic disorders such as hypoglycemia."
['1670304'],Tipiracil,"Tipiracil, in combination with trifluridine, is indicated for the treatment of refractory mestastatic colorectal cancer patients who keep progressing despite of treatment with standard chemotherapy and biologics.[A31256]"
['27712'],Invert sugar,
['34347'],Pramocaine,"It is indicated for  temporary relief of pain and pruritus from minor lip and skin irritations as well as for temporary relief from pain, burning, itching and discomfort associated with hemorrhoids and other anorectal/anogenital disorders. "
['1311565'],beta-Propiolactone,
['5920'],Gastric intrinsic factor,"Intrinsic factor is not currently available in any FDA or Health Canada approved products. However, it is currently in the marketed (but unapproved) product Hematogen in combination with cyanocobalamin (synthetic Vitamin B12), ferrous  fumarate, and ascorbic acid for the treatment of anemias responsive to oral iron therapy. "
['8345'],Piperonyl butoxide,"For the treatment of head, pubic (crab), and body lice."
['353497'],Levobetaxolol,Used in the treatment of open-angle glaucoma and ocular hypertension [FDA Label].
['7839'],Hydroxyamphetamine,Mydriatic agent (eye pupil dilatation) for diagnosis of ophthalmic nerve lesions.
['10223'],Sulfur,"Topically it is indicated for dandruff, acne, Hayfever, common cold, scaly and red skin patches (seborrheic dermatitis). Poison ivy, and sumac infections. "
"['22701', '1044977']",Dexpanthenol,"Injection: Prophylactic use immediately after major abdominal surgery to minimize the possibility of paralytic ileus. Intestinal atony causing abdominal distention; postoperative or postpartum retention of flatus, or postoperative delay in resumption of intestinal motility; paralytic ileus. Topical: This medication is used as a moisturizer to treat or prevent dry, rough, scaly, itchy skin and minor skin irritations (e.g., diaper rash, skin burns from radiation therapy). "
"['599', '317836']",Rauwolfia serpentina root,
['10328'],Tannic acid,"Tannic acid is indicated for cold sores, fever blisters, diaper rash, minor burn or sunburn and prickly heat. Vaginally, tannic acid is used as a douche for leukorrhea. It has been also indicated for sore throat, inflamed tonsils, spongy or receding gums, and acute dermatitis."
['5775'],Indocyanine green,"For Determining Cardiac Output, Hepatic Function and Liver Blood Flow For ophthalmic angiography"
['2530'],Chymotrypsin,
['28456'],Lapyrium,"Used as a surfactant, antistatic agent, and biocide in cosmetic products [A19426]."
['227410'],Sutilains,
['214549'],"Estrogens, esterified","Esterified estrogens are indicated to replace estrogen in women with ovarian failure or other conditions that cause a lack of natural estrogen in the body. It is also indicated for the treatment of symptoms of breast cancer in both men and women. In men it can be used for the treatment of advanced prostate cancer. It is also indicated for the treatment of menopausal symptoms.  "
['7518'],Norgestrel,Norgestrel in combination with ethinyl estradiol is indicated for the prevention of pregnancy in women who elect to use this product as a method of contraception.
['8259'],Phosphoric acid,"Phosphoric acid is used in dentistry and orthodontics as an etching solution, to clean and roughen the surfaces of teeth where dental appliances or fillings will be placed."
"['56443', '267453']",Sodium acetate,"Injection, USP 40 mEq is indicated as a source of sodium, for addition to large volume intravenous fluids to prevent or correct hyponatremia in patients with restricted or no oral intake. It is also useful as an additive for preparing specific intravenous fluid formulas when the needs of the patient cannot be met by standard electrolyte or nutrient solutions. Sodium acetate and other bicarbonate precursors are alkalinising agents, and can be used to correct metabolic acidosis, or for alkalinisation of the urine."
['8786'],Propoxyphene napsylate,Propoxyphene is a centrally acting opiate analgesic. It is indicated for the relief of mild to moderate pain
['1423270'],Technetium Tc-99m sulfur colloid,"Technetium 99m sulfur colloid is indicated as a diagnostic agent in adults for the following tests: localization of lymph nodes draining a primary tumor in patients with breast cancer or malignant melanoma; and evaluation of peritoneo-venous (LeVeen) shunt patency. It is indicated in both adult and pediatric patients for: imaging areas of functioning reticuloendothelial cells in the liver, spleen and bone marrow; and studies of esophageal transit and gastroesophageal reflux, and detection of pulmonary aspiration of gastric contents."
['1311495'],Sodium fluoride F-18,"18F is used as a bone imaging agent to define areas of altered osteogenic activity.  It has been indicated for back pain  and otherwise unexplained bone pain, child abuse, abnormal radiographic or laboratory findings, osteomyelitis, trauma, inflammatory and degenerative arthritis, avascular necrosis. Osteonecrosis of the mandible, condylar hyperplasia, and metabolic bone disease are also among the indications for fluoride imaging. "
"['6579', '1311539']",Magnesium chloride,"Magnesium chloride  is used in several medical and topical (skin related) applications. Magnesium chloride usp, anhydrous uses as electrolyte replenisher, pharmaceutic necessity for hemodialysis and peritoneal dialysis fluids."
['317246'],Magnesium acetate tetrahydrate,"Used as magnesium salf-containing laxatives to prevent constipation. It can bring synergistic effect to restore normal bowel function when using in combination with aluminum salts that induce bowel retention [T28]. Magnesium acetate tetrahydrate is used as a source of water and electrolytes when combined with dextrose and other salts to form intravenous infusions. This injection can be used for patients with carbohydrate or magnesium deficiency, insulin hypoglycemia, constipation or hypertension during pregnancy."
['55019'],Monopotassium phosphate,"Used in buffers (determination of pH, pharmaceutical production, urinary acidifier, paper processing, baking powder, and food), nutrient solutions, yeast foods, special liquid fertilizers, sonar systems and other electronic applications; Used as a nutritional supplement in foods, a nonlinear optical material for laser use, and in wastewater treatment; "
['55018'],Dipotassium phosphate,"As a food additive, dipotassium phosphate is used in imitation dairy creamers, dry powder beverages, mineral supplements, and starter cultures. It is used in non-dairy creamers to prevent coagulation. Dipotassium phosphate is also used to make buffer solutions and it is used in the production of trypticase soy agar which is used to make agar plates for culturing bacteria."
['34318'],Potassium perchlorate,
['11378'],Xylose,
['1361657'],Iodide I-123,Administration of Sodium Iodide I 123 Capsules is indicated as a diagnostic procedure to be used in evaluating thyroid function and/or morphology.
['10580'],Protirelin,
['9949'],Soybean oil,"Indicated for parenteral nutrition as a source of calories and essential fatty acids when oral or enteral nutrition is not possible, insufficient, or contraindicated. "
"['36709', '235496', '349753']",Sodium phosphate,Used to treat constipation or to clean the bowel before a colonoscopy [FDA Label].
['37578'],Tartaric acid,"Tartaric Acid is primarily indicated in conditions like Antiscorbutic, Antiseptic."
['36685'],Sodium carbonate,"Used topically for dermatitides, mouthwash, vaginal douche; veterinary use as emergency emetic.Occasionally, for dermatitides topically as a lotion. Medication (Vet): In solution to cleanse skin, in eczema, to soften scabs of ringworm."
['4910'],Glycerin,"It is used as a solvent, emollient, pharmaceutical agent, and sweetening agent."
"['36721', '1299926']",Sodium sulfate,indicated for bowel cleansing prior to colonoscopy or barium enema X-ray examination.
['1314372'],Indium In-111 oxyquinoline,Indium In 111 oxyquinoline is indicated for radiolabeling autologous leukocytes.
"['3829', '1545989']",Enalaprilat,Enalaprilat injection is indicated for the treatment of hypertension when oral therapy is not practical.
['1367086'],Rubidium chloride Rb-82,Rubidium Rb 82 chloride injection is indicated for Positron Emission Tomography (PET) imaging of the myocardium under rest or pharmacologic stress conditions to evaluate regional myocardial perfusion in adult patients with suspected or existing coronary artery disease.
['29155'],Magnesium carbonate,Used as an over the counter antacid [L593].
['56501'],Sodium monofluorophosphate,Sodium monofluorophosphate is indicated for the treatment of cavities
['19959'],Acrivastine,"For the relief of symptoms associated with seasonal allergic rhinitis such as sneezing, rhinorrhea, pruritus, lacrimation, and nasal congestion."
['42987'],Indium In-111 chloride,Indium In-111 Chloride is indicated for radio labeling of monoclonal antibodies in preparations used for in vivo diagnostic imaging procedures. Indiclor is also indicated for radiolabeling Zevalin in preparations used for radio immunotherapy procedure
['1729152'],Technetium Tc-99m red blood cells,
['20615'],Cetyl alcohol,
['45045'],Avobenzone,"Sun protection factor, added in the sunscreen products for its wide spectrum ultraviolet absorption properties. "
"['13369', '283678']",Octinoxate,As an active ingredient in sunscreens and lip balms. Used for protection against damaging effects of sun rays.
['281890'],Strontium chloride Sr-89,Strontium-89 Chloride Injection is indicated as a paliative for the relief of bone pain in patients with skeletal metastases. It is impotant to confirm the presence of bone metastases prior the beginning of therapy.[A31264]
['1362737'],Fludeoxyglucose F-18,"The uptake of 18F-FDG by tissues is a marker for the tissue uptake of glucose, which in turn is closely correlated with certain types of tissue metabolism. Fludeoxyglucose F 18 Injection is indicated in positron emission tomography (PET) imaging for assessment of abnormal glucose metabolism to assist in the evaluation of malignancy in patients with known or suspected abnormalities found by other testing modalities, or in patients with an existing diagnoses of cancer. "
